num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
243,62.5,12.5,0,25,0,37.5,50,62.5,0,0
244,62.5,12.5,0,25,0,37.5,50,62.5,0,0
245,62.5,12.5,0,25,0,37.5,50,62.5,0,0
246,62.5,12.5,0,25,0,37.5,50,62.5,0,0
247,62.5,12.5,0,25,0,37.5,50,62.5,0,0
248,62.5,12.5,0,25,0,37.5,50,62.5,0,0
249,62.5,12.5,0,25,0,37.5,50,62.5,0,0
250,62.5,12.5,0,25,0,37.5,50,62.5,0,0
251,62.5,12.5,0,25,0,37.5,50,62.5,0,0
252,62.5,12.5,0,25,0,37.5,50,62.5,0,0
253,62.5,12.5,0,25,0,37.5,50,62.5,0,0
254,62.5,12.5,0,25,0,37.5,50,62.5,0,0
255,62.5,12.5,0,25,0,37.5,50,62.5,0,0
256,62.5,12.5,0,25,0,37.5,50,62.5,0,0
257,62.5,12.5,0,25,0,37.5,50,62.5,0,0
258,62.5,12.5,0,25,0,37.5,50,62.5,0,0
259,62.5,12.5,0,25,0,37.5,50,62.5,0,0
260,62.5,12.5,0,25,0,37.5,50,62.5,0,0
261,62.5,12.5,0,25,0,37.5,50,62.5,0,0
262,62.5,12.5,0,25,0,37.5,50,62.5,0,0
263,62.5,12.5,0,25,0,37.5,50,62.5,0,0
264,62.5,12.5,0,25,0,37.5,50,62.5,0,0
265,62.5,12.5,0,25,0,37.5,50,62.5,0,0
266,62.5,12.5,0,25,0,37.5,50,62.5,0,0
267,62.5,12.5,0,25,0,37.5,50,62.5,0,0
268,62.5,12.5,0,25,0,37.5,50,62.5,0,0
269,62.5,12.5,0,25,0,37.5,50,62.5,0,0
270,62.5,12.5,0,25,0,37.5,50,62.5,0,0
271,62.5,12.5,0,25,0,37.5,50,62.5,0,0
272,62.5,12.5,0,25,0,37.5,50,62.5,0,0
273,62.5,12.5,0,25,0,37.5,50,62.5,0,0
274,62.5,12.5,0,25,0,37.5,50,62.5,0,0
275,62.5,12.5,0,25,0,37.5,50,62.5,0,0
276,62.5,12.5,0,25,0,37.5,50,62.5,0,0
277,62.5,12.5,0,25,0,37.5,50,62.5,0,0
278,62.5,12.5,0,25,0,37.5,50,62.5,0,0
279,62.5,12.5,0,25,0,37.5,50,62.5,0,0
280,62.5,12.5,0,25,0,37.5,50,62.5,0,0
281,62.5,12.5,0,25,0,37.5,50,62.5,0,0
282,62.5,12.5,0,25,0,37.5,50,62.5,0,0
283,62.5,12.5,0,25,0,37.5,50,62.5,0,0
284,62.5,12.5,0,25,0,37.5,50,62.5,0,0
285,62.5,12.5,0,25,0,37.5,50,62.5,0,0
286,62.5,12.5,0,25,0,37.5,50,62.5,0,0
287,62.5,12.5,0,25,0,37.5,50,62.5,0,0
288,62.5,12.5,0,25,0,37.5,50,62.5,0,0
289,62.5,12.5,0,25,0,37.5,50,62.5,0,0
290,62.5,12.5,0,25,0,37.5,50,62.5,0,0
291,62.5,12.5,0,25,0,37.5,50,62.5,0,0
292,62.5,12.5,0,25,0,37.5,50,62.5,0,0
293,62.5,12.5,0,25,0,37.5,50,62.5,0,0
294,62.5,12.5,0,25,0,37.5,50,62.5,0,0
295,62.5,12.5,0,25,0,37.5,50,62.5,0,0
296,62.5,12.5,0,25,0,37.5,50,62.5,0,0
297,62.5,12.5,0,25,0,37.5,50,62.5,0,0
298,62.5,12.5,0,25,0,37.5,50,62.5,0,0
299,62.5,12.5,0,25,0,37.5,50,62.5,0,0
300,62.5,12.5,0,25,0,37.5,50,62.5,0,0
301,62.5,12.5,0,25,0,37.5,50,62.5,0,0
302,62.5,12.5,0,25,0,37.5,50,62.5,0,0
303,62.5,12.5,0,25,0,37.5,50,62.5,0,0
304,62.5,12.5,0,25,0,37.5,50,62.5,0,0
305,62.5,12.5,0,25,0,37.5,50,62.5,0,0
306,62.5,12.5,0,25,0,37.5,50,62.5,0,0
307,62.5,12.5,0,25,0,37.5,50,62.5,0,0
308,62.5,12.5,0,25,0,37.5,50,62.5,0,0
309,62.5,12.5,0,25,0,37.5,50,62.5,0,0
310,62.5,12.5,0,25,0,37.5,50,62.5,0,0
311,62.5,12.5,0,25,0,37.5,50,62.5,0,0
312,62.5,12.5,0,25,0,37.5,50,62.5,0,0
313,62.5,12.5,0,25,0,37.5,50,62.5,0,0
314,62.5,12.5,0,25,0,37.5,50,62.5,0,0
315,62.5,12.5,0,25,0,37.5,50,62.5,0,0
316,62.5,12.5,0,25,0,37.5,50,62.5,0,0
317,62.5,12.5,0,25,0,37.5,50,62.5,0,0
318,62.5,12.5,0,25,0,37.5,50,62.5,0,0
319,62.5,12.5,0,25,0,37.5,50,62.5,0,0
320,62.5,12.5,0,25,0,37.5,50,62.5,0,0
321,62.5,12.5,0,25,0,37.5,50,62.5,0,0
322,62.5,12.5,0,25,0,37.5,50,62.5,0,0
323,62.5,12.5,0,25,0,37.5,50,62.5,0,0
324,62.5,12.5,0,25,0,37.5,50,62.5,0,0
325,62.5,12.5,0,25,0,37.5,50,62.5,0,0
326,62.5,12.5,0,25,0,37.5,50,62.5,0,0
327,62.5,12.5,0,25,0,37.5,50,62.5,0,0
328,62.5,12.5,0,25,0,37.5,50,62.5,0,0
329,62.5,12.5,0,25,0,37.5,50,62.5,0,0
330,62.5,12.5,0,25,0,37.5,50,62.5,0,0
